apartment_id,controller,T_star,RH_star,comfort_mean,comfort_std,energy_cop_kwh_mean,energy_cop_kwh_std,energy_simple_kwh_mean,energy_saving_kwh,safety_penalty_mean,switches_per_hour,total_reward_mean,n_episodes
AP16,Rule_Bayesian,26.5,73.0,0.667593107572737,0.0015938954562162108,5.955299898147568,0.021730790849172458,24.0,18.04470010185243,0.0,0.625,91.62743521158347,3
AP17,RL_PPO,28.0,69.0,0.7562789098479161,0.0018571342213761196,3.0073995043477435,0.005125000533543661,7.5,4.4926004956522565,0.0,0.5833333333333334,92.85854202207446,3
AP17,Fixed_26C,28.0,69.0,0.41592158239042093,0.002932735707049444,6.939572975489771,0.026243959960900492,24.0,17.06042702451023,0.0,0.0,89.013928220056,3
AP17,Fixed_27C,28.0,69.0,0.5421576553202788,0.003250180248395122,6.415064995159483,0.024877755702544347,24.0,17.584935004840517,0.0,0.0,90.4037993418343,3
AP17,Rule_Based,28.0,69.0,0.597651591632149,0.0010945362077233421,5.647349057696357,0.0672699975933704,24.0,18.352650942303644,0.0,0.3888888888888889,90.98511835602727,3
AP17,Random,28.0,69.0,0.31092775436263426,0.002989592845037498,4.658309699466808,0.23643986244451617,20.75,16.09169030053319,0.0,2.527777777777778,87.45167770809337,3
AP17,Rule_Bayesian,28.0,69.0,0.6243984442307001,0.0013836710667528547,5.372552873912227,0.04307685016624242,24.0,18.627447126087773,0.0,0.5,91.27012817883129,3
AP18,RL_PPO,28.0,69.0,0.767780751137094,0.009258873170065633,3.0128509852546324,0.0066875713414320985,7.5,4.487149014745368,0.0,0.5833333333333334,92.98897688123486,3
AP18,Fixed_26C,28.0,69.0,0.42993988658599164,0.012661183211146804,6.929312444998179,0.010723414160252716,24.0,17.070687555001822,0.0,0.0,89.16959375565965,3
AP18,Fixed_27C,28.0,69.0,0.5593848555930491,0.014481050817675456,6.3785218114137665,0.037033291637190165,24.0,17.621478188586234,0.0,0.0,90.59674355562312,3
AP18,Rule_Based,28.0,69.0,0.6091390168705643,0.008652571851881072,5.720140480509703,0.09140345098992762,24.0,18.279859519490298,0.0,0.3333333333333333,91.11872035883437,3
AP18,Random,28.0,69.0,0.36455481069262796,0.027523112802758147,4.901611086800977,0.5573236672577547,20.916666666666668,16.01505557986569,0.0,2.5416666666666665,88.01296028107653,3
AP18,Rule_Bayesian,28.0,69.0,0.6394114966772141,0.011340359778770386,5.453264249866268,0.12008122168237662,24.0,18.54673575013373,0.0,0.40277777777777785,91.44821248764907,3
AP19,RL_PPO,28.0,67.0,0.7719466311392796,0.014673595509576583,2.9983301485598637,0.0048178524377641115,7.5,4.501669851440136,0.0,0.5833333333333334,93.02604078078109,3
AP19,Fixed_26C,28.0,67.0,0.4117743006782402,0.019707942008236654,6.877783570239809,0.06425367400734874,24.0,17.12221642976019,0.0,0.0,88.96495477047603,3
AP19,Fixed_27C,28.0,67.0,0.5300871828145096,0.017974167181431494,6.309457817753098,0.08771958412576213,24.0,17.6905421822469,0.0,0.0,90.27621679196791,3
AP19,Rule_Based,28.0,67.0,0.4838170720276988,0.05225841149573629,5.5483342027232325,0.14307367803515297,24.0,18.451665797276767,0.0,0.3611111111111111,89.76024121199997,3
AP19,Random,28.0,67.0,0.32070642863628324,0.012902650812542469,4.768073623407198,0.30955468890222987,20.5,15.731926376592803,0.0,2.5555555555555554,87.5229746112821,3
AP19,Rule_Bayesian,28.0,67.0,0.59605619798102,0.01096631505147657,5.439342376626182,0.0865044649223107,24.0,18.560657623373817,0.0,0.5555555555555556,90.96877066442516,3
AP21,RL_PPO,27.5,69.0,0.776780923873101,0.00404595319075243,2.991868773704249,0.013627397873107324,7.5,4.508131226295751,0.003472222222222222,0.5833333333333334,92.459242817781,3
AP21,Fixed_26C,27.5,69.0,0.4778153162197156,0.00559717295584341,6.800417583328368,0.09313369755303906,24.0,17.199582416671632,0.003472222222222222,0.0,89.03960558941417,3
AP21,Fixed_27C,27.5,69.0,0.5836367778587043,0.0057704473429170105,6.225633688777478,0.08300278026750062,24.0,17.774366311222522,0.003472222222222222,0.0,90.21920001422102,3
AP21,Rule_Based,27.5,69.0,0.5233441766966642,0.019892971858655812,5.429804629389231,0.0838709155887252,24.0,18.57019537061077,0.003472222222222222,0.3611111111111111,89.54981425203177,3
AP21,Random,27.5,69.0,0.3985134866791264,0.02055276562115296,4.7568177611857925,0.08924202284226875,20.333333333333332,15.576515572147539,0.003472222222222222,2.3194444444444446,87.73707120952666,3
AP21,Rule_Bayesian,27.5,69.0,0.6172948892524898,0.0038948117355724014,5.5387177143058866,0.16541284904534626,24.0,18.461282285694114,0.003472222222222222,0.3611111111111111,90.56812535046883,3
AP22,RL_PPO,27.75,65.0,0.757006705056784,0.023567996439353086,2.9910955874269995,0.002733219679323515,7.5,4.508904412573001,0.0,0.5833333333333334,92.86152065510218,3
AP22,Fixed_26C,27.75,65.0,0.38990443760747157,0.030298442993076644,6.851384675155977,0.04727304365852844,24.0,17.148615324844023,0.0,0.0,88.72368023611267,3
AP22,Fixed_27C,27.75,65.0,0.494158109413835,0.027122772811860537,6.278703305399161,0.08554128770891302,24.0,17.721296694600838,0.0,0.0,89.88474856123571,3
AP22,Rule_Based,27.75,65.0,0.4757240444231307,0.02453641476783575,5.487220456069931,0.07422648352547372,24.0,18.51277954393007,0.0,0.3611111111111111,89.67168252000452,3
AP22,Random,27.75,65.0,0.30227945838193443,0.022569059439457334,4.682488076801535,0.2905225318424078,20.5,15.817511923198465,0.0,2.5555555555555554,87.31832916363783,3
AP22,Rule_Bayesian,27.75,65.0,0.5195250313068401,0.013837506168268681,5.384735067615307,0.049689840754883995,24.0,18.615264932384694,0.0,0.6944444444444445,90.14839424964573,3
AP23,RL_PPO,28.5,70.0,0.752305819044745,0.011325236992339656,2.998307305989623,0.005956818441462755,7.5,4.5016926940103765,0.003472222222222222,0.5833333333333334,92.19880900084037,3
AP23,Fixed_26C,28.5,70.0,0.4197065821721882,0.017962013583833224,6.841743644532411,0.10979468000218462,24.0,17.15825635546759,0.003472222222222222,0.0,88.42738242309413,3
AP23,Fixed_27C,28.5,70.0,0.5472464554962135,0.016401239760961136,6.277009545088099,0.10527588241673685,24.0,17.7229904549119,0.003472222222222222,0.0,89.83477698256893,3
AP23,Rule_Based,28.5,70.0,0.49850540480948813,0.06255727045855905,5.475468194265637,0.10573753298197545,24.0,18.524531805734362,0.003472222222222222,0.3888888888888889,89.2961518593703,3
AP23,Random,28.5,70.0,0.3094208886267115,0.02223121880371175,4.836709635735549,0.10333463512264301,20.583333333333332,15.746623697597784,0.003472222222222222,2.486111111111111,86.83074476404785,3
AP23,Rule_Bayesian,28.5,70.0,0.6629824331423517,0.010670984292384635,5.27201005514159,0.09161702611093676,24.0,18.72798994485841,0.003472222222222222,0.5,91.06879790492532,3
AP24,RL_PPO,28.5,67.0,0.7632368861923688,0.006210171539608567,2.9880307436073643,0.007435730071313593,7.5,4.511969256392636,0.0,0.5833333333333334,92.93758023060305,3
AP24,Fixed_26C,28.5,67.0,0.3911943735652035,0.010320552605971844,6.876135706347404,0.04323837953536551,24.0,17.123864293652595,0.0,0.0,88.74822966415161,3
